time_s,EMG1_mV,EMG2_mV,AX_g,AY_g,AZ_g,GX_dps,GY_dps,GZ_dps
151.62,-0.011076,-0.018638,0.029,0.98,0.289,-0.18,-0.24,-0.3
151.625,0.549725,-0.016144,0.03,0.98,0.29,-0.24,-0.37,-0.3
151.63,1.101003,-0.014101,0.03,0.98,0.29,-0.24,-0.37,-0.3
151.635,-6.139837,25.275747,0.032,0.981,0.291,-0.18,-0.37,-0.18
151.64,-0.008011,-0.002616,0.032,0.981,0.291,-0.18,-0.37,-0.18
151.645,-0.004864,-0.005068,0.031,0.98,0.289,-0.3,-0.3,-0.18
151.65,1.758793,-0.004414,0.031,0.98,0.289,-0.3,-0.3,-0.18
151.655,0.627708,27.867428,0.03,0.982,0.289,-0.24,-0.37,-0.24
151.66,-0.004169,0.092452,0.03,0.982,0.289,-0.24,-0.37,-0.24
151.665,0.000981,-0.013529,0.031,0.981,0.289,-0.24,-0.37,-0.3
151.67,58.794922,-0.015368,0.031,0.981,0.289,-0.24,-0.37,-0.3
151.675,12.801443,12.615232,0.031,0.982,0.289,-0.18,-0.3,-0.3
151.68,-0.012629,-0.0244,0.031,0.982,0.289,-0.18,-0.3,-0.3
151.685,-0.012548,-0.016717,0.03,0.982,0.289,-0.18,-0.37,-0.3
151.69,25.441851,-0.017289,0.03,0.982,0.289,-0.18,-0.37,-0.3
151.695,54.821941,0.376756,0.031,0.98,0.29,-0.24,-0.37,-0.37
151.7,-0.007684,-0.016349,0.031,0.98,0.29,-0.24,-0.37,-0.37
151.705,-0.009605,-0.018065,0.03,0.981,0.29,-0.3,-0.37,-0.3
151.71,14.708928,-0.014428,0.03,0.981,0.29,-0.3,-0.37,-0.3
151.715,35.600037,0.440925,0.03,0.982,0.291,-0.12,-0.3,-0.3
151.72,0.000817,1.508004,0.03,0.982,0.291,-0.12,-0.3,-0.3
151.725,-0.003965,-0.017616,0.032,0.981,0.288,-0.24,-0.24,-0.3
151.73,19.836536,-0.011281,0.032,0.981,0.288,-0.24,-0.24,-0.3
151.735,24.418095,0.366865,0.029,0.982,0.288,-0.3,-0.3,-0.3
151.74,-0.005436,18.836731,0.029,0.982,0.288,-0.3,-0.3,-0.3
151.745,-0.005886,-0.018842,0.03,0.98,0.288,-0.3,-0.3,-0.24
151.75,0.000572,-0.014223,0.03,0.98,0.288,-0.3,-0.3,-0.24
151.755,2.322987,0.000654,0.03,0.981,0.291,-0.12,-0.24,-0.3
151.76,0.012425,6.893676,0.03,0.981,0.291,-0.12,-0.24,-0.3
151.765,-0.001921,-0.000245,0.03,0.982,0.289,-0.12,-0.3,-0.24
151.77,-0.004741,-0.006785,0.03,0.982,0.289,-0.12,-0.3,-0.24
151.775,17.586544,-0.006989,0.028,0.981,0.288,-0.24,-0.3,-0.37
151.78,-0.005313,9.639522,0.028,0.981,0.288,-0.24,-0.3,-0.37
