sample,ch1_filtered_mV,ch1_rectified_mV,ch1_rms_mV,ch1_raw_mV
2900,0.006269182792166449,0.006269182792166449,0.00679634614075195,17.563
2901,0.004791093021805923,0.004791093021805923,0.0068118814237207595,17.563
2902,0.004475104779091857,0.004475104779091857,0.006820214376927337,17.564
2903,0.0008274034598399291,0.0008274034598399291,0.006801834319129997,17.561
2904,-0.00039565300298632575,0.00039565300298632575,0.0067359655316265015,17.56
2905,-0.0029970673299403528,0.0029970673299403528,0.006706138786675245,17.557
2906,-0.004157903341567703,0.004157903341567703,0.006694963390908772,17.555
2907,-0.0014267242909927385,0.0014267242909927385,0.006681272619103304,17.557
2908,-0.002394822065465336,0.002394822065465336,0.006664522456818478,17.555
2909,-0.005793867418346246,0.005793867418346246,0.0066847820869348155,17.55
2910,-0.005215287111035459,0.005215287111035459,0.006703434806713352,17.549
2911,-0.004755119339166891,0.004755119339166891,0.006718914369362944,17.548
2912,-0.001822783491106315,0.001822783491106315,0.006705591960290396,17.55
2913,-0.0012000290101022637,0.0012000290101022637,0.006666692587570255,17.55
2914,-0.0008819165731690879,0.0008819165731690879,0.006631299805252747,17.55
2915,0.0026852904472338956,0.0026852904472338956,0.006612987463703917,17.554
2916,-0.003259912849543885,0.003259912849543885,0.006582970201906222,17.548
2917,-0.003390499943978015,0.003390499943978015,0.006573589493253159,17.548
2918,0.003407411377527816,0.003407411377527816,0.006582307816569051,17.556
2919,0.006634515491168099,0.006634515491168099,0.006615165485253685,17.561
2920,0.0050318822121951726,0.0050318822121951726,0.006629265469386848,17.561
2921,0.005455117902781047,0.005455117902781047,0.006633943557322387,17.563
2922,0.006852429847029395,0.006852429847029395,0.006651000661245055,17.566
2923,0.004749703439409843,0.004749703439409843,0.006643112143385194,17.565
2924,0.002267137957320929,0.002267137957320929,0.006636530525653625,17.563
2925,-0.0005294640771689408,0.0005294640771689408,0.0066308800894161034,17.56
2926,-0.005378453241493607,0.005378453241493607,0.0066497253383336905,17.554
2927,-0.005880894446043963,0.005880894446043963,0.006671999775922079,17.552
2928,-0.005278073865819247,0.005278073865819247,0.006680709501746028,17.551
2929,-0.0020177882411939237,0.0020177882411939237,0.006667885529068792,17.553
2930,-0.0009307869107380278,0.0009307869107380278,0.0066560661717342505,17.553
2931,-0.0009560217740685502,0.0009560217740685502,0.006619835116132593,17.552
2932,0.0015021408365260666,0.0015021408365260666,0.006586653629215535,17.554
2933,-0.00010161255997740879,0.00010161255997740879,0.00654515583422333,17.552
2934,-0.0008891272130965733,0.0008891272130965733,0.006517492480947669,17.551
2935,0.0016846680358138554,0.0016846680358138554,0.006515736998740826,17.554
2936,0.0028104805474847457,0.0028104805474847457,0.006517062316658195,17.556
2937,0.003590737961667404,0.003590737961667404,0.006526938595879594,17.558
2938,0.002365131133301381,0.002365131133301381,0.006521043829092255,17.558
2939,0.00034138009418000414,0.00034138009418000414,0.00651292099579312,17.557
2940,0.0012382759667601815,0.0012382759667601815,0.006451719893948396,17.559
2941,-0.0014025619653840935,0.0014025619653840935,0.005854301922509798,17.557
2942,-0.000893590395299381,0.000893590395299381,0.005320438801310039,17.558
2943,-0.00021493958975561537,0.00021493958975561537,0.0051316463237526385,17.559
2944,-0.0020091736635028936,0.0020091736635028936,0.005135332094408694,17.557
2945,-0.004203999145306458,0.004203999145306458,0.0051413713242531725,17.554
2946,-0.0032372408303187375,0.0032372408303187375,0.005141782461939222,17.554
2947,-0.0021916136109832165,0.0021916136109832165,0.0051255369909355385,17.554
2948,-0.0011444709632186432,0.0011444709632186432,0.005103175162432311,17.554
2949,-0.004594408287666568,0.004594408287666568,0.005098829201611676,17.549
2950,-0.0023567170220663044,0.0023567170220663044,0.005031020646124235,17.55
2951,0.003030242624970949,0.003030242624970949,0.0049875213932655,17.555
2952,0.002275518369031009,0.002275518369031009,0.004944355020743007,17.554
2953,0.003146059174312405,0.003146059174312405,0.004829030041150664,17.555
2954,0.005421633454345898,0.005421633454345898,0.004706000167982735,17.558
2955,0.0062822876474173985,0.0062822876474173985,0.00465015373527046,17.56
2956,0.005928143492117279,0.005928143492117279,0.004663000930936045,17.561
2957,0.005442796020773019,0.005442796020773019,0.00469403703482951,17.562
2958,0.004911972713920287,0.004911972713920287,0.0047196671197727545,17.563
2959,0.0008855560277873445,0.0008855560277873445,0.004714713292396438,17.56
2960,-0.0017115571307431314,0.0017115571307431314,0.004711049969820349,17.558
2961,0.0014403621627812667,0.0014403621627812667,0.004692531147451231,17.562
2962,-0.0009044675385668642,0.0009044675385668642,0.004611574481647978,17.56
2963,-0.0018533359490897554,0.0018533359490897554,0.004571046927556482,17.559
2964,-0.0024417921858464753,0.0024417921858464753,0.004522843927320932,17.558
2965,-0.0009541109577487058,0.0009541109577487058,0.0044836094093437225,17.559
2966,0.009396019900716583,0.009396019900716583,0.004567616534209318,17.57
2967,0.012455969671997939,0.012455969671997939,0.004723454303461797,17.574
2968,-0.00420883626272647,0.00420883626272647,0.004731831767580719,17.556
2969,-0.0055664645000696525,0.0055664645000696525,0.0047538229407745256,17.553
2970,-0.00856992548694995,0.00856992548694995,0.004830404477958442,17.548
2971,-0.004258496989934813,0.004258496989934813,0.004832287946757022,17.551
2972,-0.0006579666578388748,0.0006579666578388748,0.00482814417968095,17.554
2973,0.00138476571103139,0.00138476571103139,0.004829955636677386,17.556
2974,0.00026907273184676134,0.00026907273184676134,0.004821908486220937,17.555
2975,0.010525666041997544,0.010525666041997544,0.0049337544477958736,17.567
2976,0.007826995630752514,0.007826995630752514,0.004991190715267761,17.566
2977,0.003524162217861301,0.003524162217861301,0.005002997305073514,17.563
2978,0.0014254245230498922,0.0014254245230498922,0.004981942696722002,17.562
2979,0.0013466224827504507,0.0013466224827504507,0.004979724266718807,17.563
