sample,ch2_hpf_mV
424,-0.16827
425,-0.246249
426,-0.228932
427,-0.121127
428,0.029271
429,0.184158
430,0.262711
431,0.221589
432,0.106094
433,-0.032946
434,-0.172763
435,-0.255142
436,-0.231697
437,-0.117919
438,0.033967
439,0.185221
440,0.263792
441,0.229118
442,0.120392
443,-0.030934
444,-0.180108
445,-0.256516
446,-0.228126
447,-0.114969
448,0.035767
449,0.183932
450,0.255557
451,0.216774
452,0.096694
453,-0.04991
454,-0.190374
455,-0.258995
456,-0.219771
457,-0.099647
458,0.053333
459,0.198316
460,0.269722
461,0.222619
462,0.099271
463,-0.045584
464,-0.180711
465,-0.254462
466,-0.222181
467,-0.104916
468,0.040439
469,0.189683
470,0.269912
471,0.226536
472,0.10365
473,-0.050749
474,-0.184627
475,-0.246737
476,-0.218717
477,-0.109832
478,0.034186
479,0.184166
480,0.263852
481,0.227898
482,0.103356
483,-0.045202
484,-0.183191
485,-0.254465
486,-0.227179
487,-0.111311
488,0.039824
489,0.187058
490,0.259247
491,0.22101
492,0.100176
493,-0.048396
494,-0.186378
495,-0.255917
496,-0.230875
497,-0.119644
498,0.03157
499,0.176485
500,0.248318
501,0.218674
502,0.097848
503,-0.055002
504,-0.200398
505,-0.277745
506,-0.246129
507,-0.126551
508,0.027145
509,0.180384
510,0.259599
511,0.222176
512,0.104335
513,-0.038117
514,-0.169249
515,-0.235581
516,-0.206209
517,-0.093016
518,0.057384
519,0.209737
520,0.279656
521,0.230058
522,0.106734
523,-0.045903
524,-0.187363
525,-0.25705
526,-0.226555
527,-0.110102
528,0.04421
529,0.191947
530,0.262404
531,0.221131
532,0.097641
533,-0.049557
534,-0.184232
535,-0.255143
536,-0.227221
537,-0.110269
538,0.043577
539,0.193093
540,0.264472
541,0.220902
542,0.101473
543,-0.042595
544,-0.182684
545,-0.255347
546,-0.227653
547,-0.107156
548,0.05252
549,0.196571
550,0.266925
551,0.223899
552,0.097374
553,-0.052191
554,-0.188834
555,-0.259705
556,-0.225641
557,-0.105203
558,0.049624
559,0.191951
560,0.259083
561,0.215096
562,0.097794
563,-0.040559
564,-0.181556
565,-0.256232
566,-0.225191
567,-0.113084
568,0.038868
569,0.194191
570,0.268289
571,0.222684
572,0.100072
573,-0.040659
574,-0.179696
575,-0.257819
576,-0.225076
577,-0.107767
578,0.035471
579,0.179507
580,0.258745
581,0.223471
582,0.104141
583,-0.04613
584,-0.186431
585,-0.249792
586,-0.220467
587,-0.102124
588,0.042728
589,0.185883
590,0.257269
591,0.22064
592,0.097383
593,-0.051935
594,-0.188187
595,-0.254692
596,-0.219638
597,-0.104823
598,0.044125
599,0.192763
600,0.262921
601,0.224542
602,0.100558
603,-0.051549
604,-0.194257
605,-0.26767
606,-0.23168
607,-0.107281
608,0.045139
609,0.188712
610,0.254824
611,0.225006
612,0.099104
613,-0.056514
614,-0.194921
615,-0.256462
616,-0.217843
617,-0.094802
618,0.057148
619,0.197676
620,0.262736
621,0.216325
622,0.091187
623,-0.057674
624,-0.193619
625,-0.255152
626,-0.217873
627,-0.102299
628,0.04693
629,0.197502
630,0.268322
631,0.221692
632,0.099549
633,-0.049166
634,-0.188952
635,-0.254881
636,-0.219346
637,-0.098577
638,0.051556
639,0.197991
640,0.262008
641,0.215032
642,0.099587
643,-0.044602
644,-0.188091
645,-0.255634
646,-0.216816
647,-0.095306
648,0.053959
649,0.196587
650,0.262769
651,0.219886
652,0.096146
653,-0.051501
654,-0.190569
655,-0.256384
656,-0.219991
657,-0.09986
658,0.050704
659,0.19314
660,0.256672
661,0.213458
662,0.098271
663,-0.047959
664,-0.181975
665,-0.249535
666,-0.222759
667,-0.101401
668,0.051721
669,0.198314
670,0.258309
671,0.208272
672,0.087691
673,-0.055415
674,-0.183764
675,-0.250908
676,-0.21888
677,-0.09684
678,0.056134
679,0.204089
680,0.265152
681,0.215124
682,0.089997
683,-0.054898
